bairro,grau,ordem_ego,tamanho_ego,densidade_ego
Aflitos,7,8,19,0.6785714285714286
Afogados,13,14,27,0.2967032967032967
Alto Do Mandu,6,7,12,0.5714285714285714
Alto José Bonifácio,8,9,18,0.5
Alto José Do Pinho,4,5,6,0.6
Alto José do Pinho,0,1,0,0.0
Alto Santa Teresinha,6,7,12,0.5714285714285714
Alto do Mandu,0,1,0,0.0
Apipucos,6,7,12,0.5714285714285714
Areias,8,9,19,0.5277777777777778
Arruda,12,13,33,0.4230769230769231
Barro,8,9,21,0.5833333333333334
Beberibe,4,5,7,0.7
Boa Viagem,7,8,12,0.42857142857142855
Boa Vista,5,6,10,0.6666666666666666
Bomba Do Hemetério,7,8,16,0.5714285714285714
Bomba do Hemetério,0,1,0,0.0
Bongi,8,9,21,0.5833333333333334
Brasília Teimosa,2,3,3,1.0
Brejo Da Guabiraba,5,6,9,0.6
Brejo De Beberibe,9,10,20,0.4444444444444444
Brejo da Guabiraba,0,1,0,0.0
Brejo de Beberibe,0,1,0,0.0
Cabanga,7,8,14,0.5
Cajueiro,5,6,12,0.8
Campina Do Barreto,6,7,14,0.6666666666666666
Campina do Barreto,0,1,0,0.0
Campo Grande,8,9,25,0.6944444444444444
Casa Amarela,10,11,23,0.41818181818181815
Casa Forte,6,7,15,0.7142857142857143
Caxangá,7,8,15,0.5357142857142857
Caçote,9,10,21,0.4666666666666667
Cidade Universitária,5,6,10,0.6666666666666666
Coelhos,7,8,19,0.6785714285714286
Cohab,6,7,12,0.5714285714285714
Coqueiral,7,8,15,0.5357142857142857
Cordeiro,8,9,17,0.4722222222222222
Curado,7,8,16,0.5714285714285714
Córrego Do Jenipapo,8,9,18,0.5
Córrego do Jenipapo,0,1,0,0.0
Derby,9,10,22,0.4888888888888889
Dois Irmãos,9,10,20,0.4444444444444444
Dois Unidos,5,6,10,0.6666666666666666
Encruzilhada,10,11,34,0.6181818181818182
Engenho Do Meio,8,9,18,0.5
Engenho do Meio,0,1,0,0.0
Espinheiro,8,9,24,0.6666666666666666
Estância,8,9,21,0.5833333333333334
Fundão,10,11,25,0.45454545454545453
Graças,12,13,31,0.3974358974358974
Guabiraba,5,6,10,0.6666666666666666
Hipódromo,9,10,29,0.6444444444444445
Ibura,8,9,17,0.4722222222222222
Ilha Do Leite,9,10,24,0.5333333333333333
Ilha Do Retiro,6,7,12,0.5714285714285714
Ilha Joana Bezerra,8,9,22,0.6111111111111112
Ilha do Leite,0,1,0,0.0
Ilha do Retiro,0,1,0,0.0
Imbiribeira,7,8,15,0.5357142857142857
Ipsep,5,6,11,0.7333333333333333
Iputinga,9,10,20,0.4444444444444444
Jaqueira,8,9,23,0.6388888888888888
Jardim São Paulo,9,10,23,0.5111111111111111
Jiquiá,6,7,13,0.6190476190476191
Jordão,3,4,4,0.6666666666666666
Linha Do Tiro,9,10,22,0.4888888888888889
Linha do Tiro,0,1,0,0.0
Macaxeira,9,10,21,0.4666666666666667
Madalena,8,9,16,0.4444444444444444
Mangabeira,8,9,15,0.4166666666666667
Mangueira,6,7,16,0.7619047619047619
Monteiro,11,12,27,0.4090909090909091
Morro Da Conceição,10,11,23,0.41818181818181815
Morro da Conceição,0,1,0,0.0
Mustardinha,5,6,13,0.8666666666666667
Nova Descoberta,11,12,28,0.42424242424242425
Paissandu,8,9,19,0.5277777777777778
Parnamirim,7,8,19,0.6785714285714286
Passarinho,4,5,7,0.7
Pau-Ferro,5,6,9,0.6
Peixinhos,6,7,15,0.7142857142857143
Pina,5,6,9,0.6
Ponto De Parada,8,9,25,0.6944444444444444
Ponto de Parada,0,1,0,0.0
Porto Da Madeira,5,6,12,0.8
Porto da Madeira,0,1,0,0.0
Poço,7,8,18,0.6428571428571429
Prado,8,9,16,0.4444444444444444
Recife,3,4,5,0.8333333333333334
Rosarinho,10,11,35,0.6363636363636364
San Martin,8,9,18,0.5
Sancho,8,9,21,0.5833333333333334
Santana,5,6,12,0.8
Santo Amaro,10,11,23,0.41818181818181815
Santo Antônio,7,8,18,0.6428571428571429
Setúbal,1,2,1,1.0
Soledade,6,7,11,0.5238095238095238
São José,7,8,18,0.6428571428571429
Sítio Dos Pintos,6,7,13,0.6190476190476191
Sítio dos Pintos,0,1,0,0.0
Tamarineira,12,13,31,0.3974358974358974
Tejipió,6,7,14,0.6666666666666666
Torre,5,6,11,0.7333333333333333
Torreão,9,10,27,0.6
Torrões,5,6,9,0.6
Totó,3,4,6,1.0
Vasco Da Gama,4,5,8,0.8
Vasco da Gama,0,1,0,0.0
Várzea,5,6,10,0.6666666666666666
Zumbi,7,8,14,0.5
Água Fria,7,8,17,0.6071428571428571
