bairro,grau
Aflitos,7
Afogados,13
Alto Do Mandu,6
Alto José Bonifácio,8
Alto José Do Pinho,4
Alto José do Pinho,0
Alto Santa Teresinha,6
Alto do Mandu,0
Apipucos,6
Areias,8
Arruda,12
Barro,8
Beberibe,4
Boa Viagem,7
Boa Vista,5
Bomba Do Hemetério,7
Bomba do Hemetério,0
Bongi,8
Brasília Teimosa,2
Brejo Da Guabiraba,5
Brejo De Beberibe,9
Brejo da Guabiraba,0
Brejo de Beberibe,0
Cabanga,7
Cajueiro,5
Campina Do Barreto,6
Campina do Barreto,0
Campo Grande,8
Casa Amarela,10
Casa Forte,6
Caxangá,7
Caçote,9
Cidade Universitária,5
Coelhos,7
Cohab,6
Coqueiral,7
Cordeiro,8
Curado,7
Córrego Do Jenipapo,8
Córrego do Jenipapo,0
Derby,9
Dois Irmãos,9
Dois Unidos,5
Encruzilhada,10
Engenho Do Meio,8
Engenho do Meio,0
Espinheiro,8
Estância,8
Fundão,10
Graças,12
Guabiraba,5
Hipódromo,9
Ibura,8
Ilha Do Leite,9
Ilha Do Retiro,6
Ilha Joana Bezerra,8
Ilha do Leite,0
Ilha do Retiro,0
Imbiribeira,7
Ipsep,5
Iputinga,9
Jaqueira,8
Jardim São Paulo,9
Jiquiá,6
Jordão,3
Linha Do Tiro,9
Linha do Tiro,0
Macaxeira,9
Madalena,8
Mangabeira,8
Mangueira,6
Monteiro,11
Morro Da Conceição,10
Morro da Conceição,0
Mustardinha,5
Nova Descoberta,11
Paissandu,8
Parnamirim,7
Passarinho,4
Pau-Ferro,5
Peixinhos,6
Pina,5
Ponto De Parada,8
Ponto de Parada,0
Porto Da Madeira,5
Porto da Madeira,0
Poço,7
Prado,8
Recife,3
Rosarinho,10
San Martin,8
Sancho,8
Santana,5
Santo Amaro,10
Santo Antônio,7
Setúbal,1
Soledade,6
São José,7
Sítio Dos Pintos,6
Sítio dos Pintos,0
Tamarineira,12
Tejipió,6
Torre,5
Torreão,9
Torrões,5
Totó,3
Vasco Da Gama,4
Vasco da Gama,0
Várzea,5
Zumbi,7
Água Fria,7
